LibraryName,TypeNodeName,MigratedNodeCount,NodeCount,File,Line,Column,SourceCode
modMain,Class,0,0,D:\WebMAP\tmp\SKS_Winform\Upgraded\modMain.cs,6,2,"""	internal static class modMain
	{


		public static bool CurrentUserAdmin = false;
		public static string UserFullname ='';
		public static string UserLevel = '';
		public static string UserId = '';

		public static string ConnectionString = '';

		public static int DetectionType = 0;
		public static double n = 0;
		public static int i = 0;
		public static string s = '';
		public static System.DateTime d = DateTime.FromOADate(0);
		public static string msg = '';
		public static"""
modConnection,Class,0,0,D:\WebMAP\tmp\SKS_Winform\Upgraded\modConnection.cs,7,2,"	internal static class modConnection
	{


		private static DbConnection _CurrentConnection = null;
		internal static DbConnection CurrentConnection
		{
			get
			{
				if (_CurrentConnection == null)
				{
					_CurrentConnection = UpgradeHelpers.DB.AdoFactoryManager.GetFactory().CreateConnection();
				}
				return _CurrentConnection;
			}
			set
			{
				_CurrentConnection = value;
			}
		}

		private static ADORecordSetHelper _rs = null;
		internal static ADORecordSetHel"
modFunctions,Class,0,0,D:\WebMAP\tmp\SKS_Winform\Upgraded\modFunctions.cs,12,2,"""	internal static class modFunctions
	{


		internal static void AppendAND(ref string filter)
		{
			//UPGRADE_WARNING: (2080) IsEmpty was upgraded to a comparison and has a new behavior. More Information: https://www.mobilize.net/vbtonet/ewis/ewi2080
			if (!String.IsNullOrEmpty(filter))
			{
				filter = filter +' AND ';
			}
		}

		internal static bool AddToCollection(OrderedDictionary col, string Item)
		{
			bool result = false;
			if (!Exists(col, Item))
			{
				col.Add("""
frmSplash.Designer,Class,0,0,D:\WebMAP\tmp\SKS_Winform\Upgraded\frmSplash.Designer.cs,4,2,"""	partial class frmSplash
	{

		#region'Upgrade Support '
		private static frmSplash m_vb6FormDefInstance;
		private static bool m_InitializingDefInstance;
		public static frmSplash DefInstance
		{
			get
			{
				if (m_vb6FormDefInstance == null || m_vb6FormDefInstance.IsDisposed)
				{
					m_InitializingDefInstance = true;
					m_vb6FormDefInstance = CreateInstance();
					m_InitializingDefInstance = false;
				}
				return m_vb6FormDefInstance;
			}
			set
			{
				m_vb6F"""
frmOrderAproval.Designer,Class,0,0,D:\WebMAP\tmp\SKS_Winform\Upgraded\frmOrderAproval.Designer.cs,4,2,"""	partial class frmReceptionApproval
	{

		#region'Upgrade Support '
		private static frmReceptionApproval m_vb6FormDefInstance;
		private static bool m_InitializingDefInstance;
		public static frmReceptionApproval DefInstance
		{
			get
			{
				if (m_vb6FormDefInstance == null || m_vb6FormDefInstance.IsDisposed)
				{
					m_InitializingDefInstance = true;
					m_vb6FormDefInstance = CreateInstance();
					m_InitializingDefInstance = false;
				}
				return m_vb6FormDefInstance"""
frmOrderReception.Designer,Class,0,0,D:\WebMAP\tmp\SKS_Winform\Upgraded\frmOrderReception.Designer.cs,4,2,"""	partial class frmOrderReception
	{

		#region'Upgrade Support '
		private static frmOrderReception m_vb6FormDefInstance;
		private static bool m_InitializingDefInstance;
		public static frmOrderReception DefInstance
		{
			get
			{
				if (m_vb6FormDefInstance == null || m_vb6FormDefInstance.IsDisposed)
				{
					m_InitializingDefInstance = true;
					m_vb6FormDefInstance = CreateInstance();
					m_InitializingDefInstance = false;
				}
				return m_vb6FormDefInstance;
			}
"""
frmActionOrderReception.Designer,Class,0,0,D:\WebMAP\tmp\SKS_Winform\Upgraded\frmActionOrderReception.Designer.cs,4,2,"""	partial class frmActionOrderReception
	{

		#region'Upgrade Support '
		private static frmActionOrderReception m_vb6FormDefInstance;
		private static bool m_InitializingDefInstance;
		public static frmActionOrderReception DefInstance
		{
			get
			{
				if (m_vb6FormDefInstance == null || m_vb6FormDefInstance.IsDisposed)
				{
					m_InitializingDefInstance = true;
					m_vb6FormDefInstance = CreateInstance();
					m_InitializingDefInstance = false;
				}
				return m_vb6FormDe"""
frmActionOrderRequest.Designer,Class,0,0,D:\WebMAP\tmp\SKS_Winform\Upgraded\frmActionOrderRequest.Designer.cs,4,2,"""	partial class frmActionOrderRequest
	{

		#region'Upgrade Support '
		private static frmActionOrderRequest m_vb6FormDefInstance;
		private static bool m_InitializingDefInstance;
		public static frmActionOrderRequest DefInstance
		{
			get
			{
				if (m_vb6FormDefInstance == null || m_vb6FormDefInstance.IsDisposed)
				{
					m_InitializingDefInstance = true;
					m_vb6FormDefInstance = CreateInstance();
					m_InitializingDefInstance = false;
				}
				return m_vb6FormDefInsta"""
frmOrderReception,Class,0,0,D:\WebMAP\tmp\SKS_Winform\Upgraded\frmOrderReception.cs,11,2,"""	internal partial class frmOrderReception
		: System.Windows.Forms.Form
	{

		private string currentProviderName ='';
		private int currentIdProvider = 0;
		private string currentContactName = '';
		private bool editingData = false;

		private double currentSubTotal = 0;
		private double currentTotal = 0;
		private double currentTax = 0;
		private double currentFreightCharge = 0;
		private double currentTotalTax = 0;
		public frmOrderReception()
			: base()
		{
			if (m_vb6Form"""
frmRequestAproval,Class,0,0,D:\WebMAP\tmp\SKS_Winform\Upgraded\frmRequestAproval.cs,9,2,"""	internal partial class frmRequestApproval
		: System.Windows.Forms.Form
	{

		private string Id ='';
		public frmRequestApproval()
			: base()
		{
			if (m_vb6FormDefInstance == null)
			{
				if (m_InitializingDefInstance)
				{
					m_vb6FormDefInstance = this;
				}
				else
				{
					try
					{
						//For the start-up form, the first instance created is the default instance.
						if (System.Reflection.Assembly.GetExecutingAssembly().EntryPoint != null && System.Reflec"""
