LibraryName,TypeNodeName,FullTransform,PartialTransform,NotTransform
modConnection,CompilationUnit,0,0,1
modConnection,UsingNamespace,0,0,3
modConnection,SimpleName,0,0,18
modConnection,DotName,0,0,4
modConnection,Namespace,0,0,1
modConnection,Class,0,0,1
modConnection,Field,0,0,3
modConnection,TypeRef,0,0,10
modConnection,VarDeclarator,0,0,3
modConnection,VarInit,0,0,3
modConnection,Literal,0,0,10
modConnection,Property,0,0,3
modConnection,PropBody,0,0,3
modConnection,Get,0,0,3
modConnection,Block,0,0,12
modConnection,If,0,0,3
modConnection,Eql,0,0,3
modConnection,SingleAccess,0,0,31
modConnection,ExpressionStat,0,0,13
modConnection,Assign,0,0,10
modConnection,Call,0,0,7
modConnection,ExprMemberAccess,0,0,19
modConnection,MemberAccess,0,0,19
modConnection,ArgList,0,0,11
modConnection,Return,0,0,3
modConnection,Set,0,0,3
modConnection,NewObject,0,0,4
modConnection,Arg,0,0,10
modConnection,Method,0,0,3
modConnection,AliasTypeRef,0,0,5
modConnection,ParamList,0,0,3
modConnection,Param,0,0,2
modMain,CompilationUnit,0,0,1
modMain,UsingNamespace,0,0,2
modMain,SimpleName,0,0,14
modMain,DotName,0,0,3
modMain,Namespace,0,0,1
modMain,Class,0,0,1
modMain,Field,0,0,12
modMain,AliasTypeRef,0,0,15
modMain,VarDeclarator,0,0,14
modMain,VarInit,0,0,14
modMain,Literal,0,0,30
modMain,TypeRef,0,0,8
modMain,Call,0,0,6
modMain,ExprMemberAccess,0,0,37
modMain,SingleAccess,0,0,53
modMain,MemberAccess,0,0,37
modMain,ArgList,0,0,6
modMain,Arg,0,0,5
modMain,Method,0,0,3
modMain,AttrSection,0,0,1
modMain,Attribute,0,0,1
modMain,ParamList,0,0,3
modMain,Block,0,0,14
modMain,ExpressionStat,0,0,21
modMain,Assign,0,0,16
modMain,Param,0,0,3
modMain,DefArg,0,0,2
modMain,LocalVarStat,0,0,1
modMain,LocalVar,0,0,1
modMain,Nested,0,0,3
modMain,Cast,0,0,3
modMain,ExprElementAccess,0,0,3
